Car_ID,Brand,Model,Year,Engine_Size,Cylinders,Transmission,Fuel_Type,Mileage,Horsepower,Doors,Weight,Color,Price
1,Honda,Civic,2004,5.0,8,Automatic,Electric,13.9,264,4,2282,Silver,56750
2,Ford,Fusion,1991,5.0,10,Manual,Diesel,8.6,326,2,1259,Blue,45938
3,Honda,Civic,2016,4.4,4,Manual,Hybrid,24.5,239,3,1362,White,48707
4,Toyota,Prius,1996,1.9,12,Manual,Hybrid,23.8,63,3,2841,Red,14659
5,BMW,X5,2017,3.4,12,Manual,Petrol,21.7,84,3,2755,Blue,50340
6,BMW,5 Series,1995,2.1,6,Manual,Petrol,24.4,605,3,1001,Green,120385
7,Tesla,Model X,2010,3.1,4,Automatic,Petrol,16.7,266,5,3035,White,64712
8,Mercedes,GLA,1990,1.1,3,Manual,Petrol,9.0,521,4,1962,Black,93593
9,Ford,Mustang,2022,4.3,4,Automatic,Diesel,7.3,184,2,2663,White,43524
10,Tesla,Model Y,2024,4.3,10,Automatic,Electric,14.4,662,4,2285,Black,183698
11,BMW,X3,2003,3.7,3,Automatic,Electric,7.2,510,4,1663,Yellow,121584
12,Mercedes,GLE,1993,6.0,12,Automatic,Petrol,15.8,590,5,3372,Yellow,104701
13,Tesla,Model Y,1991,4.4,10,Automatic,Petrol,22.4,77,5,2163,Green,33115
14,BMW,X3,2017,3.0,10,Automatic,Petrol,9.6,682,5,1772,Red,128788
15,Tesla,Model Y,2016,3.3,8,Automatic,Electric,10.4,423,5,2431,Red,114061
16,Tesla,Model S,2001,2.4,4,Automatic,Petrol,8.0,130,4,2960,Blue,40682
17,Tesla,Model X,2021,6.0,5,Manual,Diesel,15.6,465,4,1635,Yellow,122947
18,Ford,Focus,2013,3.6,4,Manual,Diesel,15.7,193,2,1947,Black,37325
19,Mercedes,GLA,2009,2.8,6,Automatic,Diesel,15.2,196,5,2534,White,65042
20,BMW,X5,1990,4.7,3,Automatic,Diesel,23.5,347,4,1062,White,63286
21,Toyota,RAV4,1991,6.5,10,Manual,Petrol,23.0,58,2,2482,Black,23300
22,Tesla,Model Y,2022,4.5,5,Automatic,Hybrid,20.7,153,5,1053,Black,62100
23,Toyota,Prius,2014,1.0,10,Manual,Diesel,18.8,210,5,1197,Silver,35694
24,Ford,Focus,2022,4.0,5,Automatic,Diesel,10.3,87,3,1362,Green,40049
25,Ford,Fusion,2010,3.8,6,Automatic,Hybrid,22.3,565,4,2015,Red,66629
26,Honda,Fit,2019,6.2,8,Manual,Electric,20.0,86,5,3344,Green,51163
27,Ford,Escape,2022,1.4,8,Automatic,Hybrid,22.0,305,4,927,Blue,54513
28,Tesla,Model 3,1992,4.1,4,Manual,Electric,24.8,688,4,3337,Blue,137953
29,Toyota,Corolla,2018,2.6,4,Automatic,Diesel,22.3,574,5,2329,Yellow,80336
30,Mercedes,GLE,1990,1.4,10,Manual,Diesel,22.8,520,4,1915,Blue,77851
31,Tesla,Model X,2014,1.9,10,Automatic,Diesel,16.8,391,2,2515,Blue,96982
32,Tesla,Model X,2022,5.6,6,Manual,Hybrid,17.5,245,3,1676,White,78699
